binf_chr_start_end	fus_total_overlaps	fus_variance	fus_pearson_median_skew	fus_kurtosis_excess	fus_max_binding_offset	hnrnpc_total_overlaps	hnrnpc_variance	hnrnpc_pearson_median_skew	hnrnpc_kurtosis_excess	hnrnpc_max_binding_offset	hnrnpm_total_overlaps	hnrnpm_variance	hnrnpm_pearson_median_skew	hnrnpm_kurtosis_excess	hnrnpm_max_binding_offset	khsrp_total_overlaps	khsrp_variance	khsrp_pearson_median_skew	khsrp_kurtosis_excess	khsrp_max_binding_offset	khsrpctrl_total_overlaps	khsrpctrl_variance	khsrpctrl_pearson_median_skew	khsrpctrl_kurtosis_excess	khsrpctrl_max_binding_offset	prpf8_total_overlaps	prpf8_variance	prpf8_pearson_median_skew	prpf8_kurtosis_excess	prpf8_max_binding_offset	prpf8ctrl_total_overlaps	prpf8ctrl_variance	prpf8ctrl_pearson_median_skew	prpf8ctrl_kurtosis_excess	prpf8ctrl_max_binding_offset	ptbp1_total_overlaps	ptbp1_variance	ptbp1_pearson_median_skew	ptbp1_kurtosis_excess	ptbp1_max_binding_offset	sfb31_total_overlaps	sfb31_variance	sfb31_pearson_median_skew	sfb31_kurtosis_excess	sfb31_max_binding_offset	u2af2_total_overlaps	u2af2_variance	u2af2_pearson_median_skew	u2af2_kurtosis_excess	u2af2_max_binding_offset	u2af2ctrl_total_overlaps	u2af2ctrl_variance	u2af2ctrl_pearson_median_skew	u2af2ctrl_kurtosis_excess	u2af2ctrl_max_binding_offset
chr19_9767676_9767677	0	0	0	0	0	6	0.0289597	0.526235	28.5308	58	1	0.00495037	0.212132	196.005	73	11	0.0616816	0.661059	25.1234	56	0	0	0	0	0	4	0.039405	0.300753	95.51	70	1	0.00495037	0.212132	196.005	56	1	0.00495037	0.212132	196.005	58	0	0	0	0	0	1	0.00495037	0.212132	196.005	74	3	0.0147026	0.369274	62.0152	-74
chr19_9970777_9970778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr19_10018703_10018704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.00495037	0.212132	196.005	11	0	0	0	0	0
chr19_10175841_10175842	17	0.0774238	0.911878	6.91592	-31	27	0.146135	1.05417	8.22841	-32	26	0.122571	1.10842	5.63809	30	26	0.112621	1.15635	2.87934	-10	7	0.033613	0.569862	23.7504	-33	15	0.079008	0.796491	15.5549	15	0	0	0	0	0	18	0.101433	0.843544	14.5402	16	0	0	0	0	0	24	0.144947	0.940875	18.9809	44	2	0.00985124	0.300753	95.51	-32
chr19_10257751_10257752	7	0.0535135	0.451639	53.3451	97	8	0.0481671	0.544051	39.5975	97	12	0.0660875	0.696702	22.0527	-98	4	0.0195045	0.427482	45.2703	-53	2	0.00985124	0.300753	95.51	-72	39	0.325536	1.02021	19.6259	4	3	0.0147026	0.369274	62.0152	-98	34	0.160442	1.26691	4.13286	10	0	0	0	0	0	9	0.0427712	0.649519	17.3802	-98	2	0.00985124	0.300753	95.51	-18
chr19_10489853_10489854	23	0.121235	0.985916	9.52356	2	3	0.0147026	0.369274	62.0152	92	11	0.0517314	0.72184	13.3306	-19	9	0.0527215	0.585024	33.5915	-16	5	0.0242568	0.479157	35.2255	-19	34	0.200243	1.13403	6.68301	-15	4	0.0195045	0.427482	45.2703	-20	7	0.033613	0.569862	23.7504	-38	0	0	0	0	0	56	0.479592	1.20692	7.93198	-16	3	0.0147026	0.369274	62.0152	-77
chr19_10567958_10567959	2	0.00985124	0.300753	95.5101	-78	7	0.033613	0.569862	23.7504	30	1	0.00495037	0.212132	196.005	-82	2	0.00985124	0.300753	95.51	-2	0	0	0	0	0	5	0.0242568	0.479157	35.2255	29	0	0	0	0	0	10	0.0472761	0.686443	15.1524	24	0	0	0	0	0	3	0.0147026	0.369274	62.0152	-74	2	0.00985124	0.300753	95.51	-6
chr19_10677489_10677490	16	0.0732655	0.882258	7.64899	-94	34	0.200243	1.13403	10.6461	85	29	0.173214	1.04	8.53452	85	35	0.173659	1.25356	10.0014	51	10	0.0472761	0.686443	15.1524	-31	68	0.39301	1.61895	3.24423	13	1	0.00495037	0.212132	196.005	-31	51	0.239103	1.55669	2.20873	43	0	0	0	0	0	27	0.156085	1.02002	15.7805	12	4	0.0195045	0.427482	45.2703	-18
chr19_10708610_10708611	7	0.033613	0.569862	23.7504	-98	9	0.0527215	0.585024	33.5915	-98	2	0.00985124	0.300753	95.5101	-74	5	0.0242568	0.479157	35.2255	-98	0	0	0	0	0	5	0.0242568	0.479157	35.2255	-98	0	0	0	0	0	5	0.0242568	0.479157	35.2255	-10	0	0	0	0	0	4	0.0195045	0.427482	45.2703	-40	3	0.0147026	0.369274	62.0152	-79
chr19_10911330_10911331	10	0.0572263	0.623918	28.8885	-7	17	0.107275	0.774686	17.8015	-89	2	0.00985124	0.300753	95.51	9	5	0.0242568	0.479157	35.2255	-9	6	0.0289597	0.526235	28.5308	-92	9	0.0527215	0.585024	33.5915	-93	2	0.00985124	0.300753	95.5101	-47	4	0.0195045	0.427482	45.2703	-94	0	0	0	0	0	9	0.0427712	0.649519	17.3802	-91	5	0.0242568	0.479157	35.2255	-43
chr19_11113827_11113828	25	0.148709	0.967601	17.8224	-68	14	0.0648004	0.820851	9.43201	-96	11	0.0517314	0.72184	13.3306	-2	9	0.0427712	0.649519	17.3802	-3	15	0.0790079	0.796491	15.5549	-72	147	1.10195	2.09007	1.3704	-65	5	0.0242568	0.479157	35.2255	-97	16	0.0832157	0.827832	13.9949	-83	0	0	0	0	0	19	0.115443	0.834633	15.0317	-98	5	0.0242568	0.479157	35.2255	-98
chr19_11216079_11216080	25	0.118858	1.08231	6.13474	-3	8	0.0481671	0.544051	39.5975	-3	0	0	0	0	0	7	0.033613	0.569862	23.7504	15	3	0.0147026	0.369274	62.0152	-5	3	0.0147026	0.369274	62.0152	-33	0	0	0	0	0	1	0.00495037	0.212132	196.005	20	0	0	0	0	0	13	0.0704438	0.73105	19.5084	40	1	0.00495037	0.212132	196.005	85
chr19_11296595_11296596	0	0	0	0	0	0	0	0	0	0	1	0.00495037	0.212132	196.005	-97	0	0	0	0	0	0	0	0	0	0	1	0.00495037	0.212132	196.005	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr19_11302974_11302975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr19_11310181_11310182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr19_11339157_11339158	5	0.0242568	0.479157	35.2255	-47	1	0.00495037	0.212132	196.005	12	1	0.00495037	0.212132	196.005	65	1	0.00495037	0.212132	196.005	30	2	0.00985124	0.300753	95.51	-5	6	0.0289597	0.526235	28.5308	-94	1	0.00495037	0.212132	196.005	46	2	0.00985124	0.300753	95.51	-82	0	0	0	0	0	2	0.00985124	0.300753	95.51	9	0	0	0	0	0
chr19_11362183_11362184	2	0.00985124	0.300753	95.5101	26	1	0.00495037	0.212132	196.005	87	0	0	0	0	0	1	0.00495037	0.212132	196.005	42	1	0.00495037	0.212132	196.005	23	3	0.0147026	0.369274	62.0151	2	0	0	0	0	0	5	0.0242568	0.479157	35.2255	-84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr19_12134905_12134906	1	0.00495037	0.212132	196.005	-33	1	0.00495037	0.212132	196.005	-51	3	0.0147026	0.369274	62.0152	-98	2	0.00985124	0.300753	95.51	-85	0	0	0	0	0	1	0.00495037	0.212132	196.005	-56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.00495037	0.212132	196.005	-67	1	0.00495037	0.212132	196.005	5
chr19_12155624_12155625	4	0.0195045	0.427482	45.2703	-66	3	0.0147026	0.369274	62.0152	-98	3	0.0147026	0.369274	62.0152	19	4	0.0195045	0.427482	45.2703	-98	1	0.00495037	0.212132	196.005	-98	3	0.0246529	0.285176	131.817	-2	3	0.0147026	0.369274	62.0152	-40	0	0	0	0	0	0	0	0	0	0	1	0.00495037	0.212132	196.005	51	3	0.0147026	0.369274	62.0152	-41
chr19_12530534_12530535	18	0.0914829	0.888235	11.4612	-84	11	0.0616816	0.661059	25.1234	94	40	0.209153	1.30543	4.41676	23	55	0.29826	1.50311	2.56141	27	5	0.0342071	0.403494	73.2399	-85	0	0	0	0	0	0	0	0	0	0	12	0.0660875	0.696702	22.0527	23	1	0.00495037	0.212132	196.005	-3	7	0.033613	0.569862	23.7504	-87	4	0.0195045	0.427482	45.2703	-19
chr19_12651738_12651739	10	0.0472761	0.686443	15.1524	-3	1	0.00495037	0.212132	196.005	26	2	0.00985124	0.300753	95.5101	-98	4	0.0195045	0.427482	45.2703	-48	1	0.00495037	0.212132	196.005	13	13	0.0704438	0.73105	19.5084	39	0	0	0	0	0	5	0.0242568	0.479157	35.2255	-92	1	0.00495037	0.212132	196.005	36	1	0.00495037	0.212132	196.005	19	1	0.00495037	0.212132	196.005	9
chr19_12691560_12691561	30	0.156828	1.13067	6.68038	80	1	0.00495037	0.212132	196.005	-98	7	0.0435633	0.500568	47.475	-91	9	0.0527215	0.585024	33.5915	-43	3	0.0147026	0.369274	62.0152	-90	23	0.111284	1.02905	7.27912	-1	0	0	0	0	0	7	0.0435633	0.500568	47.475	-92	2	0.00985124	0.300753	95.51	80	9	0.0427712	0.649519	17.3802	55	0	0	0	0	0
chr19_12755222_12755223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.00495037	0.212132	196.005	27	0	0	0	0	0	1	0.00495037	0.212132	196.005	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr19_12811294_12811295	5	0.0242568	0.479157	35.2255	25	1	0.00495037	0.212132	196.005	1	1	0.00495037	0.212132	196.005	-12	1	0.00495037	0.212132	196.005	89	0	0	0	0	0	2	0.00985124	0.300753	95.5101	-98	1	0.00495037	0.212132	196.005	25	4	0.0195045	0.427482	45.2703	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr19_12866164_12866165	9	0.0427712	0.649519	17.3802	-63	0	0	0	0	0	1	0.00495037	0.212132	196.005	41	1	0.00495037	0.212132	196.005	-5	0	0	0	0	0	10	0.0572263	0.623918	28.8885	-69	2	0.00985124	0.300753	95.51	-66	0	0	0	0	0	0	0	0	0	0	5	0.0242568	0.479157	35.2255	-70	0	0	0	0	0
chr19_12924033_12924034	46	0.246133	1.38388	6.12809	-61	3	0.0147026	0.369274	62.0152	72	2	0.00985124	0.300753	95.51	16	15	0.0790079	0.796491	15.5549	-7	4	0.0195045	0.427482	45.2703	-68	60	0.318853	1.58592	2.021	-6	0	0	0	0	0	20	0.0896017	0.997234	5.1605	-25	1	0.00495037	0.212132	196.005	49	9	0.0527215	0.585024	33.5915	15	2	0.00985124	0.300753	95.51	-64
chr19_12939426_12939427	126	0.661766	2.31176	0.142779	-64	20	0.099552	0.946085	9.49957	28	22	0.117373	0.958436	10.3246	58	82	0.460434	1.80366	6.56486	29	59	0.286973	1.64383	1.81265	29	227	1.38625	0.329593	-0.468181	29	17	0.0774238	0.911878	6.91592	30	78	0.456375	1.72329	5.13845	29	5	0.0242568	0.479157	35.2255	-61	186	0.865078	-0.240707	0.325167	-63	47	0.258756	1.37904	3.61392	61
chr19_13080501_13080502	6	0.0389099	0.45399	58.1529	51	2	0.00985124	0.300753	95.51	-76	5	0.0242568	0.479157	35.2255	-14	0	0	0	0	0	0	0	0	0	0	6	0.0289597	0.526235	28.5308	-75	2	0.00985124	0.300753	95.5101	45	1	0.00495037	0.212132	196.005	-75	0	0	0	0	0	0	0	0	0	0	1	0.00495037	0.212132	196.005	-79
chr19_13229246_13229247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.00495037	0.212132	196.005	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr19_13453640_13453641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr19_13817433_13817434	2	0.00985124	0.300753	95.51	0	3	0.0147026	0.369275	62.0152	-96	1	0.00495037	0.212132	196.005	22	1	0.00495037	0.212132	196.005	12	1	0.00495037	0.212132	196.005	23	5	0.0242568	0.479157	35.2255	-92	0	0	0	0	0	3	0.0147026	0.369274	62.0152	-53	0	0	0	0	0	5	0.0242568	0.479157	35.2255	82	2	0.00985124	0.300753	95.5101	-57
chr19_13890901_13890902	7	0.033613	0.569862	23.7504	-18	8	0.0382169	0.610784	20.1665	29	2	0.00985124	0.300753	95.51	-75	2	0.00985124	0.300753	95.51	26	1	0.00495037	0.212132	196.005	-17	1	0.00495037	0.212132	196.005	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0.0147026	0.369275	62.0152	26
chr19_13923281_13923282	13	0.0604935	0.788886	10.5307	81	4	0.0195045	0.427482	45.2703	-85	1	0.00495037	0.212132	196.005	-90	6	0.0389099	0.45399	58.1529	18	3	0.0147026	0.369274	62.0152	85	25	0.148709	0.967601	10.395	41	3	0.0147026	0.369274	62.0152	42	4	0.0195045	0.427482	45.2703	-16	1	0.00495037	0.212132	196.005	-19	22	0.157174	0.828242	20.4293	18	1	0.00495037	0.212132	196.005	-68
chr19_14407823_14407824	26	0.122571	1.10842	5.63809	-76	0	0	0	0	0	1	0.00495037	0.212132	196.005	-72	2	0.00985124	0.300753	95.51	-80	2	0.00985124	0.300753	95.51	-83	27	0.156085	1.02002	9.08727	2	0	0	0	0	0	3	0.0147026	0.369274	62.0152	-55	1	0.00495037	0.212132	196.005	5	8	0.0382169	0.610784	20.1665	35	1	0.00495037	0.212132	196.005	91
chr19_14446995_14446996	0	0	0	0	0	3	0.0147026	0.369274	62.0152	-23	0	0	0	0	0	2	0.00985124	0.300753	95.51	13	2	0.00985124	0.300753	95.51	62	3	0.0147026	0.369274	62.0152	-57	2	0.00985124	0.300753	95.51	11	2	0.00985124	0.300753	95.51	-6	0	0	0	0	0	0	0	0	0	0	2	0.00985124	0.300753	95.51	-91
chr19_14450550_14450551	9	0.0427712	0.649519	17.3802	40	0	0	0	0	0	2	0.00985124	0.300753	95.51	-12	5	0.0242568	0.479157	35.2255	63	0	0	0	0	0	58	0.255043	1.71414	1.29994	-34	5	0.0242568	0.479157	35.2255	46	5	0.0242568	0.479157	35.2255	-82	0	0	0	0	0	5	0.0242568	0.479157	35.2255	-73	0	0	0	0	0
chr19_15012273_15012274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr19_15426302_15426303	11	0.0616816	0.661059	25.1234	-88	3	0.0147026	0.369274	62.0152	65	28	0.129848	1.15975	4.76655	-9	6	0.0289597	0.526235	28.5307	-89	3	0.0147026	0.369274	62.0152	-46	13	0.0704438	0.73105	19.5084	-85	0	0	0	0	0	9	0.0427712	0.649519	17.3802	-87	2	0.00985124	0.300753	95.51	-9	0	0	0	0	0	5	0.0242568	0.479157	35.2255	-21
chr19_16115694_16115695	3	0.0147026	0.369274	62.0152	-78	21	0.133363	0.858276	13.7896	-63	0	0	0	0	0	1	0.00495037	0.212132	196.005	-83	1	0.00495037	0.212132	196.005	8	4	0.0195045	0.427482	45.2703	-52	0	0	0	0	0	3	0.0147026	0.369274	62.0152	-64	0	0	0	0	0	3	0.0147026	0.369274	62.0152	-80	3	0.0147026	0.369274	62.0152	-47
chr19_16171365_16171366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.00495037	0.212132	196.005	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr19_16205380_16205381	12	0.0561372	0.755929	11.8135	-59	5	0.0242568	0.479157	35.2255	-94	3	0.0147026	0.369274	62.0152	-98	2	0.00985124	0.300753	95.51	-94	4	0.0195045	0.427482	45.2703	-94	3	0.0147026	0.369274	62.0152	-92	2	0.00985124	0.300753	95.5101	37	0	0	0	0	0	1	0.00495037	0.212132	196.005	-45	5	0.0342071	0.403494	73.2399	-94	2	0.00985124	0.300753	95.51	-74
chr19_16494710_16494711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.00495037	0.212132	196.005	88	0	0	0	0	0	0	0	0	0	0	1	0.00495037	0.212132	196.005	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr19_16517188_16517189	7	0.033613	0.569862	23.7504	86	3	0.0147026	0.369274	62.0152	-74	1	0.00495037	0.212132	196.005	-16	1	0.00495037	0.212132	196.005	-58	3	0.0147026	0.369274	62.0152	-49	10	0.0472761	0.686443	15.1524	53	3	0.0147026	0.369274	62.0152	-75	11	0.0517314	0.72184	13.3306	-87	0	0	0	0	0	2	0.00985124	0.300753	95.5101	39	0	0	0	0	0
chr19_16527251_16527252	21	0.113463	0.930504	11.2117	-7	10	0.0572263	0.623918	28.8885	83	26	0.132521	1.066	7.53309	75	6	0.0289597	0.526235	28.5308	97	3	0.0147026	0.369274	62.0152	98	17	0.0873741	0.858386	12.6428	84	1	0.00495037	0.212132	196.005	-28	9	0.0427712	0.649519	17.3802	80	1	0.00495037	0.212132	196.005	-96	3	0.0147026	0.369274	62.0152	82	3	0.0147026	0.369274	62.0152	26
chr19_16681030_16681031	1	0.00495037	0.212132	196.005	34	4	0.0195045	0.427482	45.2703	48	2	0.00985124	0.300753	95.51	4	1	0.00495037	0.212132	196.005	96	1	0.00495037	0.212132	196.005	-35	1	0.00495037	0.212132	196.005	89	0	0	0	0	0	1	0.00495037	0.212132	196.005	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr19_16681689_16681690	2	0.00985124	0.300753	95.51	-87	0	0	0	0	0	0	0	0	0	0	3	0.0147026	0.369274	62.0152	-47	0	0	0	0	0	1	0.00495037	0.212132	196.005	-78	1	0.00495037	0.212132	196.005	42	2	0.00985124	0.300753	95.51	-17	0	0	0	0	0	0	0	0	0	0	1	0.00495037	0.212132	196.005	-54
chr19_16738048_16738049	0	0	0	0	0	0	0	0	0	0	1	0.00495037	0.212132	196.005	-97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr19_16844872_16844873	70	0.814039	1.15798	6.3149	-98	24	0.224549	0.755929	11.8135	24	32	0.293062	0.882258	7.64899	14	16	0.192668	0.544051	39.5975	63	4	0.039405	0.300753	95.51	93	6	0.0588104	0.369275	62.0152	-90	4	0.039405	0.300753	95.5101	-68	22	0.286528	0.61343	30.1886	-67	0	0	0	0	0	6	0.0588104	0.369274	62.0152	-8	12	0.115839	0.526235	28.5307	-1
chr19_16844872_16844873	70	0.814039	1.15798	6.3149	-98	24	0.224549	0.755929	11.8135	24	32	0.293062	0.882258	7.64899	14	16	0.192668	0.544051	39.5975	63	4	0.039405	0.300753	95.51	93	6	0.0588104	0.369275	62.0152	-90	4	0.039405	0.300753	95.5101	-68	22	0.286528	0.61343	30.1886	-67	0	0	0	0	0	6	0.0588104	0.369274	62.0152	-8	12	0.115839	0.526235	28.5307	-1
chr19_16976614_16976615	1	0.00495037	0.212132	196.005	-12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.00495037	0.212132	196.005	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr19_16990321_16990322	0	0	0	0	0	1	0.00495037	0.212132	196.005	67	2	0.00985124	0.300753	95.51	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.00495037	0.212132	196.005	-98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr19_16996964_16996965	1	0.00495037	0.212132	196.005	-38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr19_17026243_17026244	0	0	0	0	0	0	0	0	0	0	1	0.00495037	0.212132	196.005	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr19_17026251_17026252	0	0	0	0	0	0	0	0	0	0	1	0.00495037	0.212132	196.005	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr19_17051537_17051538	2	0.00985124	0.300753	95.51	-16	12	0.0660875	0.696702	22.0527	22	4	0.0195045	0.427482	45.2703	-98	1	0.00495037	0.212132	196.005	-19	2	0.00985124	0.300753	95.5101	-53	1	0.00495037	0.212132	196.005	35	0	0	0	0	0	1	0.00495037	0.212132	196.005	-92	0	0	0	0	0	4	0.0195045	0.427482	45.2703	54	0	0	0	0	0
chr19_17054108_17054109	10	0.0472761	0.686443	15.1524	56	7	0.033613	0.569862	23.7504	-88	7	0.033613	0.569862	23.7504	-1	3	0.0147026	0.369274	62.0152	-55	1	0.00495037	0.212132	196.005	9	2	0.00985124	0.300753	95.51	14	1	0.00495037	0.212132	196.005	38	4	0.0195045	0.427482	45.2703	85	0	0	0	0	0	1	0.00495037	0.212132	196.005	93	1	0.00495037	0.212132	196.005	37
chr19_17162322_17162323	18	0.0914829	0.888235	11.4612	30	3	0.0147026	0.369274	62.0152	74	0	0	0	0	0	4	0.0195045	0.427482	45.2703	38	7	0.0435633	0.500568	47.475	59	44	0.290389	1.21868	8.21492	96	1	0.00495037	0.212132	196.005	76	9	0.0527215	0.585024	33.5915	61	0	0	0	0	0	9	0.0825722	0.467467	65.7489	12	4	0.0195045	0.427482	45.2703	30
chr19_17219388_17219389	15	0.0790079	0.796491	15.5549	-9	2	0.00985124	0.300753	95.51	-64	2	0.00985124	0.300753	95.51	33	2	0.00985124	0.300753	95.51	-42	3	0.0147026	0.369274	62.0152	-86	17	0.0973243	0.813324	15.94	-3	0	0	0	0	0	2	0.00985124	0.300753	95.5101	-91	0	0	0	0	0	5	0.0242568	0.479157	35.2255	-19	2	0.00985124	0.300753	95.51	-58
chr19_17227837_17227838	29	0.163263	1.07122	7.96992	-32	6	0.0289597	0.526235	28.5308	5	1	0.00495037	0.212132	196.005	70	4	0.0195045	0.427482	45.2703	-36	3	0.0147026	0.369274	62.0152	28	12	0.0561372	0.755929	11.8135	-65	3	0.0147026	0.369274	62.0152	-65	5	0.0242568	0.479157	35.2255	-67	0	0	0	0	0	6	0.0289597	0.526235	28.5307	-92	0	0	0	0	0
chr19_17407472_17407473	4	0.0195045	0.427482	45.2703	57	3	0.0147026	0.369274	62.0152	42	0	0	0	0	0	4	0.0195045	0.427482	45.2703	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.00495037	0.212132	196.005	61	1	0.00495037	0.212132	196.005	53
chr19_17539852_17539853	2	0.00985124	0.300753	95.51	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.00495037	0.212132	196.005	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr19_17550918_17550919	0	0	0	0	0	1	0.00495037	0.212132	196.005	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0.00985124	0.300753	95.51	-59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr19_17559209_17559210	6	0.0289597	0.526235	28.5308	-50	3	0.0147026	0.369274	62.0152	0	1	0.00495037	0.212132	196.005	72	4	0.0195045	0.427482	45.2703	-37	2	0.00985124	0.300753	95.51	86	39	0.245935	1.17376	8.20197	72	2	0.00985124	0.300753	95.51	-7	5	0.0242568	0.479157	35.2255	-1	0	0	0	0	0	12	0.0660875	0.696702	22.0527	91	0	0	0	0	0
chr19_17576672_17576673	11	0.0517314	0.72184	13.3306	-89	3	0.0147026	0.369274	62.0152	-21	6	0.0588104	0.369274	112.769	90	1	0.00495037	0.212132	196.005	-23	1	0.00495037	0.212132	196.005	-61	18	0.0914829	0.888235	11.4612	68	2	0.00985124	0.300753	95.5101	-93	2	0.00985124	0.300753	95.51	12	0	0	0	0	0	5	0.0242568	0.479157	35.2255	-82	1	0.00495037	0.212132	196.005	80
chr19_17577804_17577805	34	0.150491	1.30812	2.84821	-27	0	0	0	0	0	2	0.00985124	0.300753	95.5101	-89	6	0.0289597	0.526235	28.5308	-78	1	0.00495037	0.212132	196.005	78	33	0.177025	1.17063	6.1698	-65	1	0.00495037	0.212132	196.005	-92	4	0.0195045	0.427482	45.2703	-73	1	0.00495037	0.212132	196.005	42	2	0.00985124	0.300753	95.5101	-63	1	0.00495037	0.212132	196.005	-42
chr19_17641332_17641333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.00495037	0.212132	196.005	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr19_18074487_18074488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.00495037	0.212132	196.005	-94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr19_18130353_18130354	23	0.111284	1.02905	7.27912	-51	1	0.00495037	0.212132	196.005	21	1	0.00495037	0.212132	196.005	66	4	0.0195045	0.427482	45.2703	85	0	0	0	0	0	12	0.0561372	0.755929	11.8135	3	0	0	0	0	0	1	0.00495037	0.212132	196.005	3	0	0	0	0	0	3	0.0147026	0.369274	62.0152	58	3	0.0147026	0.369274	62.0152	-10
chr19_18199032_18199033	2	0.00985124	0.300753	95.51	-56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.00495037	0.212132	196.005	-81	2	0.00985124	0.300753	95.51	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr19_18341601_18341602	11	0.0616816	0.661059	25.1234	-81	13	0.0604935	0.788886	10.5307	-9	1	0.00495037	0.212132	196.005	-80	6	0.0289597	0.526235	28.5308	-59	3	0.0147026	0.369274	62.0152	-80	12	0.0660875	0.696702	22.0527	-78	3	0.0147026	0.369274	62.0152	-58	4	0.0195045	0.427482	45.2703	-63	0	0	0	0	0	3	0.0246528	0.285176	131.817	-71	2	0.00985124	0.300753	95.5101	-85
chr19_18396075_18396076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.00495037	0.212132	196.005	-70	1	0.00495037	0.212132	196.005	-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
