decoy_chr_start_end	fus_total_overlaps	fus_variance	fus_pearson_median_skew	fus_kurtosis_excess	fus_max_binding_offset	hnrnpc_total_overlaps	hnrnpc_variance	hnrnpc_pearson_median_skew	hnrnpc_kurtosis_excess	hnrnpc_max_binding_offset	hnrnpm_total_overlaps	hnrnpm_variance	hnrnpm_pearson_median_skew	hnrnpm_kurtosis_excess	hnrnpm_max_binding_offset	khsrp_total_overlaps	khsrp_variance	khsrp_pearson_median_skew	khsrp_kurtosis_excess	khsrp_max_binding_offset	khsrpctrl_total_overlaps	khsrpctrl_variance	khsrpctrl_pearson_median_skew	khsrpctrl_kurtosis_excess	khsrpctrl_max_binding_offset	prpf8_total_overlaps	prpf8_variance	prpf8_pearson_median_skew	prpf8_kurtosis_excess	prpf8_max_binding_offset	prpf8ctrl_total_overlaps	prpf8ctrl_variance	prpf8ctrl_pearson_median_skew	prpf8ctrl_kurtosis_excess	prpf8ctrl_max_binding_offset	ptbp1_total_overlaps	ptbp1_variance	ptbp1_pearson_median_skew	ptbp1_kurtosis_excess	ptbp1_max_binding_offset	sfb31_total_overlaps	sfb31_variance	sfb31_pearson_median_skew	sfb31_kurtosis_excess	sfb31_max_binding_offset	u2af2_total_overlaps	u2af2_variance	u2af2_pearson_median_skew	u2af2_kurtosis_excess	u2af2_max_binding_offset	u2af2ctrl_total_overlaps	u2af2ctrl_variance	u2af2ctrl_pearson_median_skew	u2af2ctrl_kurtosis_excess	u2af2ctrl_max_binding_offset
chr20_42111495_42111496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.00980296	0.3	96.01	-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr20_42772097_42772098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr20_43458286_43458287	78	1.16596	2.14562	3.6275	33	4	0.0380355	0.609208	20.2912	32	21	0.303304	1.13261	8.42209	-37	59	0.718165	2.06795	1.115	-2	7	0.0645035	0.818665	9.50304	31	334	46.7672	1.01201	39.5898	35	13	0.15175	0.991241	9.78485	-15	30	0.327615	1.55682	4.77917	32	4	0.0380355	0.609208	20.2912	-8	107	6.33311	1.26292	45.4072	48	15	0.14626	1.16501	5.62129	-2
chr20_43458359_43458360	103	1.52436	0.0481156	1.80575	8	9	0.0811685	0.938315	6.32005	-41	23	0.235271	1.40846	3.41468	-39	102	1.59396	0.0235268	2.48868	18	23	0.274875	1.30305	8.10056	10	593	56.5676	1.14529	21.2217	-38	23	0.235271	1.40846	8.87645	18	53	0.764239	1.80078	2.76468	16	1	0.00980296	0.3	96.0099	-42	166	8.60563	0.658146	22.2876	-23	13	0.191354	0.882723	19.9476	-23
chr20_43514844_43514845	54	0.743849	1.85974	2.5027	22	3	0.0288207	0.524891	28.6973	-48	4	0.0380355	0.609208	20.2912	-33	6	0.0756789	0.647834	26.9316	25	4	0.0380355	0.609208	20.2912	43	66	1.03833	1.92387	3.417	29	2	0.0194099	0.426401	45.5202	-10	10	0.0892069	0.99449	5.2099	4	0	0	0	0	0	15	0.14626	1.16501	5.62129	33	0	0	0	0	0
chr20_43605608_43605609	1	0.00980296	0.3	96.01	15	4	0.0578375	0.494032	45.7523	18	0	0	0	0	0	1	0.00980296	0.3	96.01	-12	2	0.0194099	0.426401	45.5202	-22	1	0.00980296	0.3	96.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.00980296	0.3	96.0099	-17	0	0	0	0	0
chr20_43611127_43611128	2	0.0194099	0.426401	45.5202	-48	0	0	0	0	0	26	0.369376	1.27069	13.6234	-8	0	0	0	0	0	0	0	0	0	0	1	0.00980296	0.3	96.0099	-40	1	0.00980296	0.3	96.0099	-31	11	0.116851	0.955819	10.3978	41	0	0	0	0	0	0	0	0	0	0	1	0.00980296	0.3	96.01	-6
chr20_43638033_43638034	0	0	0	0	0	4	0.0380355	0.609208	20.2912	-26	1	0.00980296	0.3	96.01	6	0	0	0	0	0	0	0	0	0	0	1	0.00980296	0.3	96.0099	-28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.00980296	0.3	96.01	-11
chr20_43700457_43700458	82	1.30124	2.13518	2.31195	9	0	0	0	0	0	59	0.896383	1.85099	5.38873	-8	19	0.25174	1.12481	10.966	18	3	0.0486227	0.404112	63.8267	24	6	0.0756789	0.647834	26.9316	-48	2	0.0194099	0.426401	45.5202	23	7	0.0645035	0.818665	9.50304	14	0	0	0	0	0	2	0.0194099	0.426401	45.5202	11	3	0.0288207	0.524891	28.6973	11
chr20_43710809_43710810	19	0.330948	0.98101	11.5104	-10	0	0	0	0	0	23	0.255073	1.35268	8.49751	13	5	0.0470542	0.684653	15.2521	41	2	0.0194099	0.426401	45.5202	7	24	0.418783	1.10158	27.4302	-2	1	0.00980296	0.3	96.01	-7	20	0.198412	1.33366	4.00036	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr20_44511764_44511765	15	0.185864	1.03346	8.47226	-12	5	0.0470542	0.684653	15.2521	27	14	0.139202	1.11456	6.52613	-14	70	2.05431	1.45066	19.411	37	2	0.0194099	0.426401	45.5202	-21	2	0.0194099	0.426401	45.5202	25	1	0.00980296	0.3	96.0099	-16	0	0	0	0	0	0	0	0	0	0	10	0.148613	0.770498	30.8225	37	2	0.0194099	0.426401	45.5202	-46
chr20_44534070_44534071	5	0.0470542	0.684653	15.2521	-33	0	0	0	0	0	4	0.0578375	0.494032	45.7523	33	1	0.00980296	0.3	96.01	0	2	0.0194099	0.426401	45.5202	-25	0	0	0	0	0	1	0.00980296	0.3	96.01	3	1	0.00980296	0.3	96.01	25	0	0	0	0	0	0	0	0	0	0	1	0.00980296	0.3	96.01	25
chr20_44616486_44616487	3	0.0288207	0.524891	28.6973	-36	0	0	0	0	0	0	0	0	0	0	3	0.0288207	0.524891	28.6973	-28	0	0	0	0	0	2	0.0194099	0.426401	45.5202	10	0	0	0	0	0	21	0.184492	1.45221	2.21973	-31	0	0	0	0	0	3	0.0288207	0.524891	28.6973	-48	0	0	0	0	0
chr20_44634741_44634742	1	0.00980296	0.3	96.01	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0.0194099	0.426401	45.5202	-5	1	0.00980296	0.3	96.0099	-15	6	0.0558769	0.753937	11.8965	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr20_44921935_44921936	17	0.2786	0.956661	15.3973	16	2	0.0194099	0.426401	45.5202	8	3	0.0288207	0.524891	28.6973	24	4	0.0380355	0.609208	20.2912	-48	4	0.0380355	0.609208	20.2912	-23	10	0.109009	0.89964	12.2811	-48	4	0.0380355	0.609208	20.2912	-17	5	0.0470542	0.684653	15.2521	-17	1	0.00980296	0.3	96.0099	-48	7	0.0645035	0.818665	9.50303	7	1	0.00980296	0.3	96.01	0
chr20_44957136_44957137	5	0.0470542	0.684653	15.2521	-35	6	0.0756789	0.647834	26.9316	-44	4	0.0380355	0.609208	20.2912	-48	4	0.0380355	0.609208	20.2912	-41	1	0.00980296	0.3	96.01	39	4	0.0380355	0.609208	20.2912	-48	2	0.0194099	0.426401	45.5202	27	2	0.0194099	0.426401	45.5202	-31	0	0	0	0	0	1	0.00980296	0.3	96.0099	-48	0	0	0	0	0
chr20_45111668_45111669	1	0.00980296	0.3	96.0099	-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr20_45176208_45176209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr20_45253833_45253834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.00980296	0.3	96.0099	-14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr20_45374176_45374177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr20_45552367_45552368	0	0	0	0	0	0	0	0	0	0	1	0.00980296	0.3	96.01	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr20_45609757_45609758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr20_45704664_45704665	1	0.00980296	0.3	96.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr20_45707370_45707371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr20_45813410_45813411	4	0.0380355	0.609208	20.2912	16	3	0.0288207	0.524891	28.6973	18	3	0.0288207	0.524891	28.6973	-48	4	0.0380355	0.609208	20.2912	18	0	0	0	0	0	43	0.858347	1.3786	12.0305	19	2	0.0194099	0.426401	45.5202	31	4	0.0380355	0.609208	20.2912	-40	0	0	0	0	0	32	1.58279	0.755507	29.3255	18	0	0	0	0	0
chr20_45946983_45946984	8	0.072934	0.879883	7.71103	-37	1	0.00980296	0.3	96.0099	-42	3	0.0288207	0.524891	28.6973	-33	1	0.00980296	0.3	96.0099	-28	2	0.0194099	0.426401	45.5202	-7	24	0.39898	1.12859	7.42858	34	3	0.0288207	0.524891	28.6973	8	7	0.0645035	0.818665	9.50303	34	0	0	0	0	0	2	0.0194099	0.426401	45.5202	36	5	0.0470542	0.684653	15.2521	-40
chr20_46572183_46572184	7	0.123909	0.590671	46.5087	14	1	0.00980296	0.3	96.01	32	1	0.00980296	0.3	96.0099	-27	4	0.0380355	0.609208	20.2912	-45	2	0.0194099	0.426401	45.5202	-33	2	0.0392119	0.3	96.01	32	6	0.0558769	0.753937	11.8965	33	4	0.0380355	0.609208	20.2912	-47	0	0	0	0	0	2	0.0194099	0.426401	45.5202	-13	1	0.00980296	0.3	96.0099	-21
chr20_47228604_47228605	40	0.575826	1.56572	5.90456	12	12	0.164102	0.879883	12.1503	-7	11	0.136653	0.883858	12.9087	-34	84	1.66474	1.93378	8.40231	23	3	0.0288207	0.524891	28.6973	29	65	2.44721	1.23418	36.8972	-4	0	0	0	0	0	11	0.136653	0.883858	12.9087	-6	0	0	0	0	0	3	0.0288207	0.524891	28.6973	-38	1	0.00980296	0.3	96.01	22
chr20_47638845_47638846	6	0.0558769	0.753937	11.8965	-33	29	0.660131	1.06019	15.2668	-32	8	0.092736	0.780307	17.6412	26	27	0.294873	1.47688	6.10401	-34	1	0.00980296	0.3	96.0099	-20	7	0.0645035	0.818665	9.50303	29	3	0.0288207	0.524891	28.6973	-7	0	0	0	0	0	0	0	0	0	0	12	0.1443	0.938315	11.2121	-32	2	0.0194099	0.426401	45.5202	-34
chr20_47638849_47638850	6	0.0558769	0.753937	11.8965	-37	28	0.655818	1.02699	15.6879	-36	7	0.0843055	0.716094	21.5852	22	28	0.299382	1.52	5.70058	-38	1	0.00980296	0.3	96.0099	-24	7	0.0645035	0.818665	9.50303	25	3	0.0288207	0.524891	28.6973	-11	0	0	0	0	0	0	0	0	0	0	12	0.1443	0.938315	11.2121	-36	2	0.0194099	0.426401	45.5202	-38
chr20_47646804_47646805	1	0.00980296	0.3	96.01	24	1	0.00980296	0.3	96.0099	-28	2	0.0194099	0.426401	45.5202	-41	9	0.10097	0.841289	14.6347	-48	0	0	0	0	0	1	0.00980296	0.3	96.01	29	0	0	0	0	0	2	0.0194099	0.426401	45.5202	10	0	0	0	0	0	2	0.0194099	0.426401	45.5202	-48	1	0.00980296	0.3	96.01	35
chr20_47658852_47658853	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0.0811685	0.938315	6.32005	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr20_47664584_47664585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.00980296	0.3	96.0099	-38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr20_47669348_47669349	0	0	0	0	0	0	0	0	0	0	3	0.0486227	0.404112	63.8267	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.00980296	0.3	96.01	10	0	0	0	0	0	0	0	0	0	0	1	0.00980296	0.3	96.01	-1
chr20_48640380_48640381	1	0.00980296	0.3	96.0099	-47	0	0	0	0	0	1	0.00980296	0.3	96.0099	-33	0	0	0	0	0	1	0.00980296	0.3	96.0099	-32	4	0.0578375	0.494032	45.7523	-15	0	0	0	0	0	4	0.0578375	0.494032	45.7523	-45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr20_48641526_48641527	0	0	0	0	0	2	0.0194099	0.426401	45.5202	-39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.00980296	0.3	96.01	34	0	0	0	0	0	1	0.00980296	0.3	96.01	-2	0	0	0	0	0
chr20_48651329_48651330	2	0.0194099	0.426401	45.5202	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0.0470542	0.684653	15.2521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr20_48676998_48676999	1	0.00980296	0.3	96.01	6	0	0	0	0	0	1	0.00980296	0.3	96.01	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.00980296	0.3	96.01	43	3	0.0486227	0.404112	63.8268	-48	0	0	0	0	0	1	0.00980296	0.3	96.01	15	0	0	0	0	0
chr20_48684622_48684623	3	0.0288207	0.524891	28.6973	-48	1	0.00980296	0.3	96.0099	-48	0	0	0	0	0	1	0.00980296	0.3	96.0099	-40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr20_48706198_48706199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.00980296	0.3	96.01	-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr20_48972189_48972190	10	0.168415	0.723785	27.4351	-15	10	0.0892069	0.99449	5.2099	-15	2	0.0194099	0.426401	45.5202	-14	15	0.14626	1.16501	5.62129	-17	3	0.0288207	0.524891	28.6973	-19	12	0.124498	1.01018	8.86288	-17	6	0.0558769	0.753937	11.8965	-12	2	0.0194099	0.426401	45.5202	-17	0	0	0	0	0	20	0.218214	1.27171	4.80816	-12	5	0.0470542	0.684653	15.2521	38
chr20_48982888_48982889	25	0.285266	1.39032	3.36004	-27	18	0.324674	0.938315	20.4926	-27	24	0.240565	1.45343	3.03538	-31	12	0.124498	1.01018	8.86288	23	7	0.0645035	0.818665	9.50303	14	1	0.00980296	0.3	96.0099	-30	2	0.0194099	0.426401	45.5202	-27	9	0.10097	0.841289	14.6347	-25	0	0	0	0	0	7	0.0645035	0.818665	9.50303	-9	2	0.0194099	0.426401	45.5202	12
chr20_49001565_49001566	2	0.0194099	0.426401	45.5202	-45	7	0.0843055	0.716094	21.5852	23	0	0	0	0	0	0	0	0	0	0	2	0.0194099	0.426401	45.5202	-43	2	0.0194099	0.426401	45.5202	-35	1	0.00980296	0.3	96.0099	-48	1	0.00980296	0.3	96.01	23	0	0	0	0	0	1	0.00980296	0.3	96.01	34	2	0.0194099	0.426401	45.5202	27
chr20_49017944_49017945	2	0.0194099	0.426401	45.5202	-23	8	0.092736	0.780307	17.6412	-32	0	0	0	0	0	3	0.0288207	0.524891	28.6973	-29	3	0.0486227	0.404112	63.8267	13	3	0.0288207	0.524891	28.6973	-20	0	0	0	0	0	3	0.0486227	0.404112	63.8267	13	0	0	0	0	0	4	0.0380355	0.609208	20.2912	48	1	0.00980296	0.3	96.0099	-24
chr20_49068607_49068608	3	0.0288207	0.524891	28.6973	0	11	0.0970493	1.04881	4.30404	46	2	0.0194099	0.426401	45.5202	-31	22	0.269385	1.25903	8.71894	46	3	0.0288207	0.524891	28.6973	2	11	0.136653	0.883858	12.9087	-42	2	0.0194099	0.426401	45.5202	19	11	0.116851	0.955819	10.3978	-44	2	0.0194099	0.426401	45.5202	11	1	0.00980296	0.3	96.01	10	0	0	0	0	0
chr20_49076107_49076108	2	0.0194099	0.426401	45.5202	-45	10	0.109009	0.89964	12.2811	45	2	0.0194099	0.426401	45.5202	-41	4	0.0578375	0.494032	45.7523	45	1	0.00980296	0.3	96.0099	-42	1	0.00980296	0.3	96.0099	-14	0	0	0	0	0	1	0.00980296	0.3	96.01	22	0	0	0	0	0	1	0.00980296	0.3	96.0099	-48	1	0.00980296	0.3	96.0099	-24
chr20_49084878_49084879	14	0.159004	1.04285	8.57128	-13	5	0.0668562	0.57438	34.486	-5	3	0.0288207	0.524891	28.6973	-12	12	0.124498	1.01018	8.86288	-23	4	0.0380355	0.609208	20.2912	-31	7	0.0843055	0.716094	21.5852	-26	1	0.00980296	0.3	96.01	-6	19	0.212136	1.22531	12.3069	39	0	0	0	0	0	7	0.0843055	0.716094	21.5852	-26	7	0.0843055	0.716094	21.5852	-35
chr20_49096070_49096071	10	0.0892069	0.99449	5.2099	44	11	0.0970493	1.04881	4.30404	-46	2	0.0194099	0.426401	45.5202	-48	45	0.583668	1.74956	4.37362	-38	4	0.0380355	0.609208	20.2912	-43	26	0.805019	0.860736	52.3885	-6	0	0	0	0	0	27	0.314675	1.42966	5.83835	-39	0	0	0	0	0	79	1.75453	1.77152	3.11866	-42	1	0.00980296	0.3	96.0099	-26
chr20_49239694_49239695	5	0.0470542	0.684653	15.2521	31	1	0.00980296	0.3	96.01	35	0	0	0	0	0	6	0.0558769	0.753937	11.8965	-19	1	0.00980296	0.3	96.0099	-21	2	0.0194099	0.426401	45.5202	-16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.00980296	0.3	96.0099	-20
chr20_49256499_49256500	2	0.0194099	0.426401	45.5202	32	4	0.0380355	0.609208	20.2912	32	0	0	0	0	0	3	0.0288207	0.524891	28.6973	-13	0	0	0	0	0	1	0.00980296	0.3	96.01	48	1	0.00980296	0.3	96.01	31	2	0.0194099	0.426401	45.5202	25	0	0	0	0	0	0	0	0	0	0	1	0.00980296	0.3	96.01	43
chr20_49266392_49266393	0	0	0	0	0	0	0	0	0	0	2	0.0194099	0.426401	45.5202	-45	6	0.0756789	0.647834	26.9316	-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.00980296	0.3	96.01	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr20_49642152_49642153	1	0.00980296	0.3	96.0099	-38	8	0.092736	0.780307	17.6412	30	14	0.159004	1.04285	8.57128	-43	1	0.00980296	0.3	96.01	44	1	0.00980296	0.3	96.0099	-48	2	0.0194099	0.426401	45.5202	-20	0	0	0	0	0	1	0.00980296	0.3	96.0099	-20	0	0	0	0	0	1	0.00980296	0.3	96.0099	-23	0	0	0	0	0
chr20_49854434_49854435	4	0.0380355	0.609208	20.2912	-42	2	0.0194099	0.426401	45.5202	-28	1	0.00980296	0.3	96.0099	-16	0	0	0	0	0	2	0.0194099	0.426401	45.5202	21	1	0.00980296	0.3	96.01	16	2	0.0194099	0.426401	45.5202	11	5	0.0470542	0.684653	15.2521	-28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr20_49946038_49946039	2	0.0194099	0.426401	45.5202	-13	7	0.0645035	0.818665	9.50304	-11	1	0.00980296	0.3	96.01	-3	7	0.0645035	0.818665	9.50303	2	0	0	0	0	0	3	0.0288207	0.524891	28.6973	-13	1	0.00980296	0.3	96.01	15	0	0	0	0	0	0	0	0	0	0	6	0.0558769	0.753937	11.8965	15	1	0.00980296	0.3	96.01	43
chr20_50581229_50581230	15	0.205666	0.982448	16.4665	37	6	0.0558769	0.753937	11.8965	-4	6	0.0558769	0.753937	11.8965	-20	7	0.0645035	0.818665	9.50303	-48	3	0.0288207	0.524891	28.6973	-34	49	1.77453	1.09258	38.5524	6	0	0	0	0	0	5	0.0668562	0.57438	34.4861	21	0	0	0	0	0	20	0.515244	0.827606	41.7364	21	0	0	0	0	0
chr20_50896812_50896813	29	0.303696	1.56307	2.20323	-2	2	0.0194099	0.426401	45.5202	-17	1	0.00980296	0.3	96.01	22	4	0.0380355	0.609208	20.2912	-41	3	0.0288207	0.524891	28.6973	-21	13	0.15175	0.991241	9.78485	-3	1	0.00980296	0.3	96.01	17	3	0.0288207	0.524891	28.6973	-27	0	0	0	0	0	0	0	0	0	0	3	0.0288207	0.524891	28.6973	26
chr20_51609493_51609494	27	0.433487	1.21808	11.8258	14	0	0	0	0	0	1	0.00980296	0.3	96.0099	-43	9	0.140574	0.712999	35.045	12	1	0.00980296	0.3	96.01	20	3	0.0288207	0.524891	28.6973	-13	0	0	0	0	0	8	0.092736	0.780307	17.6412	-43	0	0	0	0	0	3	0.0288207	0.524891	28.6973	-18	3	0.0288207	0.524891	28.6973	-45
chr20_51617598_51617599	5	0.0470542	0.684653	15.2521	32	2	0.0194099	0.426401	45.5202	15	1	0.00980296	0.3	96.01	26	1	0.00980296	0.3	96.01	15	0	0	0	0	0	6	0.0558769	0.753937	11.8965	24	1	0.00980296	0.3	96.01	21	2	0.0194099	0.426401	45.5202	22	0	0	0	0	0	11	0.176257	0.77825	24.5512	28	0	0	0	0	0
chr20_52095656_52095657	4	0.0380355	0.609208	20.2912	-10	0	0	0	0	0	2	0.0194099	0.426401	45.5202	-18	0	0	0	0	0	0	0	0	0	0	1	0.00980296	0.3	96.0099	-22	1	0.00980296	0.3	96.01	30	4	0.0380355	0.609208	20.2912	-30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr20_53569363_53569364	6	0.0558769	0.753937	11.8965	-5	0	0	0	0	0	4	0.0380355	0.609208	20.2912	-12	14	0.139202	1.11456	6.52613	-7	1	0.00980296	0.3	96.01	12	12	0.203706	0.789732	20.1422	-5	0	0	0	0	0	4	0.0380355	0.609208	20.2912	-3	0	0	0	0	0	1	0.00980296	0.3	96.01	26	2	0.0194099	0.426401	45.5202	30
chr20_54215113_54215114	1	0.00980296	0.3	96.01	10	3	0.0288207	0.524891	28.6973	-39	0	0	0	0	0	4	0.0380355	0.609208	20.2912	-14	1	0.00980296	0.3	96.0099	-45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0.0194099	0.426401	45.5202	-36	2	0.0194099	0.426401	45.5202	-43
chr20_54217928_54217929	0	0	0	0	0	0	0	0	0	0	2	0.0194099	0.426401	45.5202	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.00980296	0.3	96.01	-6	0	0	0	0	0
chr20_54649566_54649567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr20_56372223_56372224	13	0.131948	1.06302	7.59221	-6	17	0.258798	0.992586	12.073	-47	5	0.0668562	0.57438	34.486	13	3	0.0288207	0.524891	28.6973	0	2	0.0194099	0.426401	45.5202	-25	9	0.120772	0.769234	17.4422	-21	4	0.0380355	0.609208	20.2912	15	4	0.0380355	0.609208	20.2912	10	0	0	0	0	0	2	0.0194099	0.426401	45.5202	23	4	0.0578375	0.494032	45.7523	13
chr20_56385242_56385243	9	0.0811685	0.938315	6.32005	-45	3	0.0288207	0.524891	28.6973	-30	16	0.192726	1.08255	16.1325	-23	14	0.376826	0.677419	28.9958	22	3	0.0288207	0.524891	28.6973	-45	12	0.124498	1.01018	8.86288	22	0	0	0	0	0	5	0.0470542	0.684653	15.2521	44	0	0	0	0	0	3	0.0288207	0.524891	28.6973	22	1	0.00980296	0.3	96.0099	-48
chr20_56494011_56494012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr20_56502890_56502891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr20_56637389_56637390	0	0	0	0	0	0	0	0	0	0	2	0.0194099	0.426401	45.5202	-13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr20_57332183_57332184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr20_57335678_57335679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr20_57342594_57342595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr20_57342601_57342602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr20_57343310_57343311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr20_57503063_57503064	10	0.227821	0.622305	44.1723	2	0	0	0	0	0	1	0.00980296	0.3	96.01	0	2	0.0194099	0.426401	45.5202	-5	2	0.0194099	0.426401	45.5202	0	2	0.0194099	0.426401	45.5202	-39	0	0	0	0	0	3	0.0288207	0.524891	28.6973	5	0	0	0	0	0	1	0.00980296	0.3	96.01	-9	1	0.00980296	0.3	96.01	-7
chr20_57611958_57611959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr20_57613551_57613552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
